date,previous_date,retailer_id,retailer_name,ipca_item_id,ipca_code,relative,product_pair_count
2026-07-11,2026-07-10,extra-mercado,Extra Mercado,ipca-sp-1101002,1101002,1.000000000000,5
2026-07-11,2026-07-10,pao-de-acucar,Pão de Açúcar,ipca-sp-1101002,1101002,1.000000000000,8
2026-07-11,2026-07-10,extra-mercado,Extra Mercado,ipca-sp-1116071,1116071,1.000000000000,2
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1101002,1101002,0.973296516298,7
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1101002,1101002,1.000000000000,5
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1101002,1101002,1.000000000000,8
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1101073,1101073,1.062578222778,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1101073,1101073,1.000000000000,1
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1102006,1102006,0.928867887958,13
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1102006,1102006,1.000000000000,8
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1102006,1102006,1.000000000000,3
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1102006,1102006,1.000000000000,3
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1102012,1102012,0.954441913440,1
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1102023,1102023,0.845581712020,2
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1102029,1102029,1.000000000000,6
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1102029,1102029,1.000000000000,9
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1102029,1102029,1.000000000000,4
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1102029,1102029,1.000000000000,9
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1102061,1102061,0.941831725261,3
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1102061,1102061,1.000000000000,6
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1102061,1102061,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1102061,1102061,1.000000000000,2
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1103003,1103003,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1103003,1103003,1.000000000000,5
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1103003,1103003,1.000000000000,3
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1103003,1103003,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1103020,1103020,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1103026,1103026,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1103026,1103026,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1103028,1103028,1.000000000000,1
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1103028,1103028,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1103043,1103043,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1103043,1103043,1.000000000000,3
