date,covered_weight_pct_total_ipca,total_food_at_home_weight_pct_total_ipca,coverage_fraction,covered_subitem_count,retailer_count,product_pair_count,unclassified_count,no_healthy_run_count,unavailable_count,carried_expired_count,no_denominator_count,invalid_price_count
2026-07-10,0.0000,12.1181,0.000000000000,0,0,0,5327,5395,0,0,0,0
2026-07-11,0.0000,12.1181,0.000000000000,0,0,0,10722,0,0,0,0,0
