date,previous_date,retailer_id,retailer_name,ipca_item_id,ipca_code,relative,product_pair_count
2026-07-11,2026-07-10,extra-mercado,Extra Mercado,ipca-sp-1101002,1101002,1.000000000000,24
2026-07-11,2026-07-10,pao-de-acucar,Pão de Açúcar,ipca-sp-1101002,1101002,1.000000000000,24
2026-07-11,2026-07-10,extra-mercado,Extra Mercado,ipca-sp-1102006,1102006,1.000000000000,1
2026-07-11,2026-07-10,extra-mercado,Extra Mercado,ipca-sp-1116071,1116071,1.000000000000,3
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1101002,1101002,0.977416785768,16
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1101002,1101002,1.000000000000,24
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1101002,1101002,1.000000000000,27
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1101002,1101002,1.000000000000,4
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1101073,1101073,0.967730700569,6
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1101073,1101073,1.000000000000,4
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1102006,1102006,0.929525275454,40
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1102006,1102006,1.000000000000,32
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1102006,1102006,1.000000000000,14
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1102006,1102006,1.000000000000,19
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1102012,1102012,0.978145297975,4
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1102012,1102012,1.000000000000,3
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1102012,1102012,1.000000000000,2
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1102023,1102023,0.915495581151,5
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1102023,1102023,1.000000000000,4
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1102023,1102023,1.000000000000,1
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1102029,1102029,1.000000000000,23
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1102029,1102029,1.000000000000,38
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1102029,1102029,1.000000000000,27
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1102029,1102029,1.000000000000,35
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1102061,1102061,1.019911838120,16
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1102061,1102061,1.000000000000,25
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1102061,1102061,1.000000000000,2
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1102061,1102061,1.000000000000,4
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1103002,1103002,1.000000000000,2
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1103002,1103002,1.000000000000,2
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1103003,1103003,1.000000000000,4
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1103003,1103003,1.000000000000,8
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1103003,1103003,1.000000000000,5
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1103003,1103003,1.000000000000,2
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1103020,1103020,1.000000000000,2
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1103020,1103020,1.000000000000,2
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1103026,1103026,1.000000000000,3
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1103026,1103026,1.000000000000,4
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1103028,1103028,1.000000000000,4
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1103028,1103028,1.000000000000,3
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1103028,1103028,1.000000000000,1
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1103043,1103043,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1103043,1103043,1.000000000000,2
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1103043,1103043,1.000000000000,9
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1103044,1103044,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1103044,1103044,1.000000000000,1
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1104003,1104003,0.951899090250,6
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1104003,1104003,1.000000000000,3
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1104003,1104003,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1104003,1104003,1.000000000000,1
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1104023,1104023,0.949040843030,44
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1104023,1104023,1.000000000000,96
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1104023,1104023,1.000000000000,45
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1104023,1104023,1.000000000000,13
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1104032,1104032,1.000000000000,20
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1104032,1104032,1.000000000000,25
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1104032,1104032,1.011792647181,87
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1104032,1104032,1.000000000000,81
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1104052,1104052,1.058705010189,16
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1104052,1104052,1.000000000000,13
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1104052,1104052,1.000000000000,5
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1104052,1104052,1.000000000000,4
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1105001,1105001,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1105001,1105001,1.000000000000,5
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1105005,1105005,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1105010,1105010,1.000000000000,3
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1105010,1105010,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1105012,1105012,1.000000000000,2
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1105019,1105019,1.000000000000,3
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1105019,1105019,1.000000000000,2
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1105019,1105019,1.000000000000,6
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1106005,1106005,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1106005,1106005,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1106008,1106008,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1106015,1106015,1.000000000000,2
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1106015,1106015,1.000000000000,2
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1106017,1106017,1.000000000000,3
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1106017,1106017,1.000000000000,6
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1106018,1106018,1.000000000000,3
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1106018,1106018,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1106018,1106018,1.000000000000,5
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1106019,1106019,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1106019,1106019,1.000000000000,7
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1106023,1106023,1.000000000000,3
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1106023,1106023,1.000000000000,4
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1106027,1106027,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1106027,1106027,1.000000000000,6
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1106028,1106028,1.289559798446,3
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1106028,1106028,1.000000000000,6
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1106039,1106039,1.000000000000,2
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1106039,1106039,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1106039,1106039,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1107018,1107018,1.000000000000,36
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1107018,1107018,1.000000000000,42
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1107018,1107018,1.000000000000,22
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1107084,1107084,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1107084,1107084,1.088868208463,4
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1107084,1107084,1.000000000000,12
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1107084,1107084,1.123516996156,3
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1107087,1107087,1.000000000000,3
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1107087,1107087,1.000000000000,2
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1107087,1107087,1.000000000000,5
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1107088,1107088,1.000000000000,3
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1107088,1107088,1.000000000000,10
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1107088,1107088,1.000000000000,3
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1107089,1107089,1.000000000000,2
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1107089,1107089,1.000000000000,3
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1107089,1107089,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1107089,1107089,1.000000000000,3
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1107091,1107091,1.000000000000,4
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1107091,1107091,1.000000000000,2
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1107093,1107093,1.000000000000,3
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1107093,1107093,1.098023463771,2
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1107093,1107093,1.000000000000,2
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1107094,1107094,1.000000000000,1
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1107094,1107094,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1107094,1107094,1.000000000000,1
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1107095,1107095,1.000000000000,2
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1107095,1107095,1.000000000000,2
