date,previous_date,ipca_item_id,ipca_code,ipca_name,weight_pct_total_ipca,relative,retailer_count,product_pair_count,retailer_min_relative,retailer_max_relative
2026-07-12,2026-07-11,ipca-sp-1107091,1107091,Lagarto comum,0.1077,1.000000000000,2,6,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1107093,1107093,Músculo,0.1026,1.032674487924,3,7,1.000000000000,1.098023463771
2026-07-12,2026-07-11,ipca-sp-1107094,1107094,Pá,0.1231,1.000000000000,3,3,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1107095,1107095,Acém,0.2571,1.000000000000,4,10,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1107099,1107099,Costela,0.1690,1.000000000000,4,12,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1108031,1108031,Peixe-merluza,0.0279,1.000000000000,3,4,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1108038,1108038,Peixe-pescada,0.0212,1.000000000000,2,4,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1108075,1108075,Peixe-salmão,0.0250,1.000000000000,3,41,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1108080,1108080,Peixe-tilápia,0.0366,1.000000000000,3,12,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1109002,1109002,Presunto,0.1054,1.000000000000,3,28,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1109007,1109007,Salsicha,0.0647,1.000000000000,2,13,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1109008,1109008,Linguiça,0.3486,1.000000000000,3,93,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1109010,1109010,Mortadela,0.0677,1.000000000000,3,14,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1110009,1110009,Frango inteiro,0.1331,1.000000000000,4,9,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1110010,1110010,Frango em pedaços,0.5283,1.000000000000,4,130,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1110044,1110044,Ovo de galinha,0.1964,1.000000000000,3,24,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1111004,1111004,Leite longa vida,0.6890,1.000000000000,4,61,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1111009,1111009,Leite em pó,0.0872,1.000000000000,4,18,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1111011,1111011,Queijo,0.5234,1.001411573588,4,331,1.000000000000,1.005646294350
2026-07-12,2026-07-11,ipca-sp-1111019,1111019,Iogurte e bebidas lácteas,0.1360,0.979478237998,4,311,0.917912951992,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1111021,1111021,Requeijão,0.0940,1.000000000000,3,36,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1112003,1112003,Biscoito,0.3388,0.997678254965,4,380,0.990713019860,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1112015,1112015,Pão francês,0.6914,1.000000000000,3,12,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1112017,1112017,Pão doce,0.1150,1.000000000000,3,14,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1112018,1112018,Pão de forma,0.1192,1.000000000000,4,117,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1112019,1112019,Bolo,0.1366,1.000035932495,4,200,1.000000000000,1.000143729982
2026-07-12,2026-07-11,ipca-sp-1113013,1113013,Óleo de soja,0.1378,0.988633042198,3,8,0.965899126593,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1113014,1113014,Azeite de oliva,0.0842,0.994920417049,4,35,0.979681668195,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1113040,1113040,Margarina,0.0752,1.000000000000,3,18,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1114001,1114001,Suco de frutas,0.1426,0.994162273243,3,116,0.982486819730,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1114022,1114022,Café moído,0.2619,0.994013661689,4,104,0.976054646757,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1114083,1114083,Refrigerante e água mineral,0.5101,1.003315349036,2,176,1.000000000000,1.006630698071
2026-07-12,2026-07-11,ipca-sp-1114084,1114084,Cerveja,0.3936,1.013002473233,2,36,1.000000000000,1.026004946467
2026-07-12,2026-07-11,ipca-sp-1114087,1114087,Vinho,0.0936,1.006843970083,2,210,1.000000000000,1.013687940165
2026-07-12,2026-07-11,ipca-sp-1114090,1114090,Suco em pó,0.0747,0.915979588648,2,22,0.831959177296,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1115016,1115016,Palmito em conserva,0.0396,0.989197928944,4,22,0.956791715776,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1115039,1115039,Sardinha em conserva,0.0271,0.995822350240,4,13,0.983289400960,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1115057,1115057,Azeitona,0.0342,1.016078739612,4,57,1.000000000000,1.064314958448
2026-07-12,2026-07-11,ipca-sp-1115058,1115058,Milho-verde em conserva,0.0172,0.987460587387,4,5,0.949842349549,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1115075,1115075,Atum em conserva,0.0308,0.971717748594,3,19,0.915153245781,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1116005,1116005,Atomatado,0.1151,0.996214050475,4,78,0.984856201899,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1116010,1116010,Alho,0.0970,0.991591203105,4,18,0.966364812419,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1116033,1116033,Maionese,0.0481,1.000941623113,4,34,1.000000000000,1.003766492450
2026-07-12,2026-07-11,ipca-sp-1116041,1116041,Vinagre,0.0221,1.003285530021,4,30,1.000000000000,1.013142120082
2026-07-12,2026-07-11,ipca-sp-1116071,1116071,Tempero misto,0.0696,0.957377883513,4,48,0.829511534050,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1101002,1101002,Arroz,0.4030,1.004771950285,4,76,1.000000000000,1.009740783905
2026-07-13,2026-07-12,ipca-sp-1101073,1101073,Feijão-carioca (rajado),0.1876,1.000000000000,2,13,1.000000000000,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1102006,1102006,Macarrão,0.1112,0.999976653460,4,124,0.994611871509,1.005294742331
2026-07-13,2026-07-12,ipca-sp-1102012,1102012,Farinha de trigo,0.0431,1.014379861550,3,11,1.000000000000,1.043139584649
2026-07-13,2026-07-12,ipca-sp-1102023,1102023,Farinha de mandioca,0.0320,1.000000000000,3,10,1.000000000000,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1102029,1102029,Massa semipreparada,0.1189,0.991070458776,4,141,0.964281835103,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1102061,1102061,Macarrão instantâneo,0.0404,1.001935025050,4,51,1.000000000000,1.007740100201
2026-07-13,2026-07-12,ipca-sp-1103002,1103002,Batata-doce,0.0267,1.000000000000,2,4,1.000000000000,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1103003,1103003,Batata-inglesa,0.1234,0.988608024435,4,26,0.954432097742,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1103020,1103020,Abobrinha,0.0191,1.000000000000,3,5,1.000000000000,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1103026,1103026,Pimentão,0.0368,1.000000000000,3,10,1.000000000000,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1103028,1103028,Tomate,0.1791,1.020763345092,4,18,1.000000000000,1.083053380367
2026-07-13,2026-07-12,ipca-sp-1103043,1103043,Cebola,0.0906,1.000000000000,3,13,1.000000000000,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1103044,1103044,Cenoura,0.0363,1.000000000000,3,4,1.000000000000,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1104003,1104003,Açúcar refinado,0.1100,1.000000000000,4,12,1.000000000000,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1104023,1104023,Chocolate em barra e bombom,0.2557,0.999904594006,4,269,0.996790686930,1.002827689093
2026-07-13,2026-07-12,ipca-sp-1104032,1104032,Sorvete,0.1665,1.020653574177,4,237,1.000000000000,1.038879216037
2026-07-13,2026-07-12,ipca-sp-1104052,1104052,Chocolate e achocolatado em pó,0.1191,1.003370399027,4,49,1.000000000000,1.013481596107
2026-07-13,2026-07-12,ipca-sp-1105001,1105001,Alface,0.0965,1.000000000000,3,9,1.000000000000,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1105005,1105005,Couve,0.0271,1.000000000000,2,2,1.000000000000,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1105010,1105010,Repolho,0.0163,1.000000000000,2,4,1.000000000000,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1105012,1105012,Cheiro-verde,0.0326,1.000000000000,1,2,1.000000000000,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1105019,1105019,Brócolis,0.0306,0.982438765372,4,14,0.929755061486,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1106005,1106005,Banana-d'água,0.1481,1.000000000000,2,2,1.000000000000,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1106008,1106008,Banana-prata,0.0843,1.000000000000,3,3,1.000000000000,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1106015,1106015,Limão,0.0565,1.051727723951,3,6,1.000000000000,1.155183171854
2026-07-13,2026-07-12,ipca-sp-1106017,1106017,Maçã,0.1217,1.039157917021,3,15,1.000000000000,1.117473751062
2026-07-13,2026-07-12,ipca-sp-1106018,1106018,Mamão,0.0900,1.000000000000,4,13,1.000000000000,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1106019,1106019,Manga,0.0644,1.000000000000,3,9,1.000000000000,1.000000000000
2026-07-13,2026-07-12,ipca-sp-1106023,1106023,Pera,0.0508,1.094382216713,3,9,1.000000000000,1.283146650138
2026-07-13,2026-07-12,ipca-sp-1106027,1106027,Tangerina,0.0668,1.000000000000,2,7,1.000000000000,1.000000000000
