date,previous_date,ipca_item_id,ipca_code,ipca_name,weight_pct_total_ipca,relative,retailer_count,product_pair_count,retailer_min_relative,retailer_max_relative
2026-07-11,2026-07-10,ipca-sp-1101002,1101002,Arroz,0.4030,1.000000000000,1,1,1.000000000000,1.000000000000
2026-07-11,2026-07-10,ipca-sp-1116071,1116071,Tempero misto,0.0696,1.000000000000,1,1,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1101002,1101002,Arroz,0.4030,0.984113712375,2,2,0.968227424749,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1102006,1102006,Macarrão,0.1112,0.936802637712,2,5,0.873605275424,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1102029,1102029,Massa semipreparada,0.1189,1.000000000000,2,2,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1102061,1102061,Macarrão instantâneo,0.0404,0.983249581240,3,3,0.949748743719,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1103003,1103003,Batata-inglesa,0.1234,1.000000000000,2,2,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1103028,1103028,Tomate,0.1791,1.000000000000,2,2,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1103044,1103044,Cenoura,0.0363,1.000000000000,1,1,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1104023,1104023,Chocolate em barra e bombom,0.2557,0.973112021648,4,16,0.892448086593,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1104032,1104032,Sorvete,0.1665,1.000000000000,3,10,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1104052,1104052,Chocolate e achocolatado em pó,0.1191,1.000000000000,1,2,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1105001,1105001,Alface,0.0965,1.000000000000,1,1,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1105012,1105012,Cheiro-verde,0.0326,1.000000000000,1,1,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1106018,1106018,Mamão,0.0900,1.000000000000,1,1,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1106019,1106019,Manga,0.0644,1.000000000000,1,1,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1107018,1107018,Carne de porco,0.2853,1.000000000000,2,5,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1107084,1107084,Contrafilé,0.3951,1.000000000000,1,5,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1107093,1107093,Músculo,0.1026,1.205655526992,1,1,1.205655526992,1.205655526992
2026-07-12,2026-07-11,ipca-sp-1107094,1107094,Pá,0.1231,1.000000000000,1,1,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1107095,1107095,Acém,0.2571,1.000000000000,1,1,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1108038,1108038,Peixe-pescada,0.0212,1.000000000000,1,1,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1108075,1108075,Peixe-salmão,0.0250,1.000000000000,1,2,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1108080,1108080,Peixe-tilápia,0.0366,1.000000000000,1,1,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1109002,1109002,Presunto,0.1054,1.000000000000,1,1,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1109007,1109007,Salsicha,0.0647,1.000000000000,2,2,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1109008,1109008,Linguiça,0.3486,1.000000000000,2,5,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1109010,1109010,Mortadela,0.0677,1.000000000000,1,2,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1110010,1110010,Frango em pedaços,0.5283,1.000000000000,3,3,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1110044,1110044,Ovo de galinha,0.1964,1.000000000000,1,1,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1111004,1111004,Leite longa vida,0.6890,1.000000000000,1,2,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1111009,1111009,Leite em pó,0.0872,1.000000000000,2,2,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1111011,1111011,Queijo,0.5234,1.000000000000,3,10,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1111019,1111019,Iogurte e bebidas lácteas,0.1360,0.954192357145,4,16,0.816769428581,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1111021,1111021,Requeijão,0.0940,1.000000000000,1,1,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1112003,1112003,Biscoito,0.3388,1.000066809202,4,16,1.000000000000,1.000267236810
2026-07-12,2026-07-11,ipca-sp-1112018,1112018,Pão de forma,0.1192,1.000000000000,3,11,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1112019,1112019,Bolo,0.1366,1.000000000000,4,9,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1113013,1113013,Óleo de soja,0.1378,1.000000000000,2,2,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1113014,1113014,Azeite de oliva,0.0842,1.000000000000,1,2,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1113040,1113040,Margarina,0.0752,1.000000000000,1,1,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1114001,1114001,Suco de frutas,0.1426,1.000000000000,3,5,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1114022,1114022,Café moído,0.2619,1.000000000000,2,3,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1114083,1114083,Refrigerante e água mineral,0.5101,0.987275267102,2,7,0.974550534205,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1114084,1114084,Cerveja,0.3936,1.006770686921,1,3,1.006770686921,1.006770686921
2026-07-12,2026-07-11,ipca-sp-1114087,1114087,Vinho,0.0936,1.000000000000,2,13,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1114090,1114090,Suco em pó,0.0747,0.664429530201,1,2,0.664429530201,0.664429530201
2026-07-12,2026-07-11,ipca-sp-1115016,1115016,Palmito em conserva,0.0396,1.000000000000,1,1,1.000000000000,1.000000000000
2026-07-12,2026-07-11,ipca-sp-1115057,1115057,Azeitona,0.0342,1.283553875236,2,2,1.000000000000,1.567107750473
2026-07-12,2026-07-11,ipca-sp-1115075,1115075,Atum em conserva,0.0308,0.961501443696,2,2,0.923002887392,1.000000000000
